EmployeeID,Name,Department,Salary
10000,Bob Webster,AGC,75630
9999,Mark Steel,Dev,29791
9998,Craig Graham,Cloud Engineer,94542
9997,Edward Ojeda,CFO,109612
9996,Kris Hazlett,HRD,80156
9995,Wilma Caskey,CFO,141256
9994,Janet Miller,BDM,86864
9993,Kristine Hinton,CFO,141418
9992,James Clark,PM,20278
9991,Warren Mitchell,CSR,116006
9990,William Elder,GC,97408
9989,Tyrone Mcbride,Network Admin,37248
9988,Daniel Sizer,DBA,54090
9987,Patsy Moniz,SDR,45527
9986,Jessie Utter,Network Admin,99664
9985,Annette Washington,UX Designer,26880
9984,Thomas Hofmann,HRBP,68098
9983,Anthony Peek,Ops Manager,52636
9982,Maryann Brown,SDR,13943
9981,Herbert Springer,CFO,68193
9980,Terry Newhouse,Cloud Engineer,92441
9979,Robert Williams,HRD,58628
9978,Jonathan James,DevOps,10533
9977,Vicky Shaw,HRM,108901
9976,Alison Palmieri,Supply Chain Analyst,33504
9975,Rudy Jordan,FA,17200
9974,Rhonda Sanders,ITSM,35502
9973,Monroe Ayers,CIO,24476
9972,Alfred Oatman,CFO,88481
9971,Rafael Cradle,IP,88307
9970,Christopher Sutton,SysAdmin,141194
9969,Mary Lindsey,AE,81571
9968,Robert Anchondo,SDR,66366
9967,Angela Stroman,Supply Chain Analyst,25242
9966,Elizabeth Russell,Support Engineer,45821
9965,Pamela Mcgeeney,Corp Counsel,107338
9964,Bethany Upton,IP,85938
9963,John Evans,VP of Sales,60349
9962,Allen Jordan,Data Analyst,28262
9961,Patricia Marshall,COO,133331
9960,Donald Rowan,Support Engineer,36369
9959,Debra Martin,DBA,40519
9958,Sheila Patterson,DevOps,126098
9957,Edna Johnson,Cloud Engineer,85168
9956,Lilly Peterson,VP of Sales,117146
9955,Agnes Graham,CPO,10103
9954,Stephanie Smith,GC,107704
9953,Raymond Valles,VP of Sales,53842
9952,Monica Kershner,PM,29268
9951,Stephanie Kirk,HRGA,33403
9950,Sergio Sonderegger,SDR,141777
9949,Bobby Decicco,SysAdmin,83302
9948,Max Arredondo,Ops Manager,14106
9947,Leon Thomas,AE,137602
9946,Jerry Kavanagh,Procurement Manager,34993
9945,Austin Stocks,SDR,87708
9944,William Alsup,QA,71575
9943,Malinda Kisler,Help Desk,88681
9942,Wilson Adams,PMO,113578
9941,Noelia Smith,Data Scientist,77113
9940,Christy Bryant,FP&A,77647
9939,Leah Tipler,Help Desk,20066
9938,William Shapiro,CSM,18346
9937,Mary Wojcik,ITSM,81204
9936,Karen Cody,UX Designer,98124
9935,William Brooks,CTO,139444
9934,Lynn Valenzuela,FA,148804
9933,Charles Solar,SEO,63004
9932,Celia Griffith,Data Scientist,33574
9931,Martin Frias,GC,23015
9930,Joanne Gade,Procurement Manager,60655
9929,Paula Brown,PM,47437
9928,Todd Tews,SDR,126830
9927,Richard Blackmon,ACC,22614
9926,Jason Coy,UX/UI,21134
9925,Roberta Fulker,PMO,111216
9924,Anne Levy,Ops Manager,108290
9923,Eugene Lindsey,CTO,114199
9922,Michael Ridling,COO,107382
9921,Laura Martin,Network Admin,35558
9920,Laura Sanders,Data Analyst,100328
9919,Kasey Chapman,VP of Sales,101402
9918,Kyle Skimehorn,IP,18159
9917,Richard Vanness,CMO,111389
9916,Robert Files,BDM,136507
9915,Wilma Legere,Support Engineer,66257
9914,Robert Lee,SysAdmin,108656
9913,Rose Jackson,Security Analyst,66841
9912,Steven Peterson,Supply Chain Analyst,39819
9911,James Wrede,CMO,54355
9910,Richard Church,Product Analyst,89153
9909,Aletha Manor,HRBP,50683
9908,Charles Morales,ACC,79976
9907,Joseph Nolasco,ACC,72759
9906,William Davidson,SEO,136653
9905,Brigid Hinds,ITSM,14435
9904,Brenda Mone,AP/AR,46927
9903,Jill Burke,UX Designer,113311
9902,Anthony Delia,HRD,14588
9901,Nora Fernandez,SEO,96207
9900,Louis Dawkins,QA,47400
9899,Jacqueline Gilliss,HRD,108814
9898,Charles Gibbs,Cloud Engineer,88921
9897,Raul Hamburg,VP of Sales,99454
9896,Hazel Lundgren,SDR,26583
9895,Michael Aaron,HRD,70668
9894,Heather Demaray,PM,37062
9893,Charles Alexader,Corp Counsel,88740
9892,Jacob Alston,GC,103202
9891,Tori Pham,UX/UI,99407
9890,Nicole Good,CSM,103698
9889,James Connelly,CIO,65691
9888,Ronny Whitt,Data Analyst,21412
9887,Christopher Ott,Network Admin,56037
9886,Annie Dagley,VP of Sales,124779
9885,Louise Maddox,CIO,113826
9884,Diane Hinshaw,FA,94994
9883,Susan Glinski,VP of Sales,54742
9882,Caryn Dombrowski,Product Analyst,20063
9881,Patrick Flores,HRGA,149197
9880,David Park,CTO,45283
9879,Brandon Cowman,ACC,91352
9878,Angel Winston,PM,39388
9877,Gerald Mack,CMO,103208
9876,Fabian Blizzard,SDR,52570
9875,Richard Usrey,SDR,102022
9874,Richard Rodriguez,QA,25130
9873,Sara Keeney,Data Scientist,36174
9872,Joe Sutter,VP of Sales,149148
9871,Barbara Haviland,Security Analyst,36393
9870,Stacey Magana,HRM,87651
