EmployeeID,Name,Department,Salary
5703,Guy Farmer,COO,58088
7070,Tim Walker,GC,52788
4876,Theresa Fortner,PM,19965
9604,Brian Seal,HRGA,111678
2997,Lisandra Olague,Product Analyst,92303
951,Susan Rivera,Procurement Manager,87557
5570,Frankie Placido,ITSM,27665
9798,Michael Crowell,AE,127030
711,Tim Gibson,PMO,86968
1224,Albert Koon,ACC,18887
8529,Jean Franzese,IP,84516
8176,John Harris,Data Analyst,57559
1335,Michael Schrunk,FA,77201
4879,Deanna Vert,DBA,134874
1435,Kenneth Fountain,Cloud Engineer,63722
5834,Albert Ray,AE,62394
1108,Karen Ault,ITSM,107438
1448,Barbara Kampman,Data Analyst,91660
2663,Holly Douglass,HRM,106751
6620,Jerry Labrie,QA,60396
1606,Logan Quirk,SEO,137838
7076,Marilyn Guerrero,UX Designer,61888
9644,Dorothy Scott,Corp Counsel,120231
1252,Kevin Abad,Corp Counsel,110279
1610,Donald Sanchez,SEO,85552
9575,Joann Williams,UX Designer,70926
4452,Florence Butler,COO,134381
7428,Arlene Barrett,Support Engineer,71746
7574,Scott Banks,SEO,149415
3888,Leola Salim,COO,142865
2457,Luann Abercrombie,PM,20608
8802,George Boswell,AP/AR,81839
9618,Terrance Sanderson,IP,106495
9111,David Stephens,AP/AR,117706
7586,Pat Stock,Data Analyst,131601
2194,Suzanne Carlton,Data Analyst,54833
6800,Maria Lester,AE,142051
1870,Gerald Stewart,FA,143469
1350,Jason White,Procurement Manager,122334
4425,Gary Fleisher,Data Analyst,33161
6289,Martin Brewer,ACC,73117
5192,Lynn Kass,HRBP,18351
2714,Melissa Murray,SEO,144254
9696,Charles Brown,DBA,153845
9757,Donald Brown,BDM,20170
5088,Caroline Irwin,HRD,121915
3061,David Barham,AGC,101296
1404,Robert Simmons,DBA,113218
6927,Melvin Harris,CFO,47654
6359,Corey Richards,PMO,37129
8266,Benjamin Alderman,SMM,100167
1366,Patricia Geffre,HRBP,76406
7274,Archie Irwin,Procurement Manager,153699
1109,Jeffrey Taylor,IP,18213
6234,Naomi Clark,AGC,100852
190,Stanley Farrell,Product Analyst,111495
9085,Jeff Flowers,SMM,125496
7668,Richard Sutton,Help Desk,81353
4616,Peter Avery,Help Desk,69016
1840,Gaye Baez,FA,79205
2535,Roger Harvey,Support Engineer,35561
2313,Brian Young,Data Analyst,152160
6067,Willie Davis,FA,19124
5802,Paul Peace,PM,30032
9435,Keith Clark,Support Engineer,19934
9456,Vicky Wilburn,SysAdmin,93569
9348,Edelmira Nolan,HRGA,75010
484,Richard Shepherd,UX/UI,60157
6631,Steven Oswald,IP,19226
305,Viola Taylor,GC,139755
481,Norma Huffman,HRD,74857
8484,Abby Audette,BDM,77481
1303,Tracy Smith,Network Admin,63529
3017,Dianne Mckemie,SDR,145602
8930,Jason Davis,HRD,58467
7602,Jon Vanhuss,UX/UI,25623
3277,Jenny Krone,CMO,35307
2166,Karen Weaver,SysAdmin,67416
5320,Barbara Byers,Data Scientist,124950
6013,Alex Echols,SDR,84010
6048,Garland Buchanan,CMO,30047
5254,Marlene Morrison,CFO,109797
4151,Edward Freeders,DBA,87438
1824,Hien Patterson,SMM,66801
1454,Johnna Grant,HRD,48431
8688,Michael Abbott,Support Engineer,132143
776,Daniel Foster,HRBP,150341
7298,Mathew Reiter,COO,116190
2495,David Pulido,AGC,76160
5628,Jessie Earl,CFO,36367
4718,Marcelo Caberto,DevOps,139190
7169,Shane Cashen,FP&A,32421
981,Thelma Morningstar,Support Engineer,54118
5991,Darcy Paulson,PM,89046
8892,Katherine Ash,Data Scientist,67344
3049,Robin Mccurren,Data Scientist,87503
4228,Regina Chen,SEO,54134
8314,John Jesse,Supply Chain Analyst,102609
286,Carolyn Davis,Help Desk,53119
9711,Cassie Pratt,UX/UI,109845
2465,Margaret Ryan,Help Desk,137358
1819,Arlene Parrott,Data Scientist,27216
9078,Winifred Coulter,AE,29944
5643,Danielle Ottesen,CMO,25297
132,Stephanie Spires,Dev,89905
152,Elaine Morin,Support Engineer,121427
1723,Anita Stumpff,HRD,117786
4321,Aimee Foley,Cloud Engineer,41803
3359,David Weinhold,Cloud Engineer,132591
205,Tamika West,PM,113535
8573,Deborah Macpartland,CSR,99501
8374,David Merkle,HRD,21407
1156,Kevin Wiggins,GC,38606
5400,Miguel Rodrigues,CPO,153341
7680,Andrew Barron,CSR,49595
8908,Martha Mcclure,HRBP,50023
872,Dennis Boland,AP/AR,134627
4977,Latoya Metivier,VP of Sales,39719
3994,Julie Waters,IP,43526
6108,Brenda Garcia,COO,130848
5535,Lori Ochs,SysAdmin,131605
6384,Daniel Haun,IP,121800
6291,Debra Haskins,IP,146828
1662,Marlo Daniel,CSR,107448
1917,Santos Ragan,CFO,125925
5387,Thomas Orcutt,UX Designer,51838
8696,James Davis,Support Engineer,30514
338,Tina Harden,Supply Chain Analyst,75304
1204,Era Gottron,PMO,20526
4172,Fred Rost,FA,153350
8976,Heather Gaona,Procurement Manager,95901
9612,Cynthia Mckeeman,HRD,80059
6684,Ronald Robbins,HRGA,100710
1782,Terry Oliveros,ACC,47817
1657,Morris Jack,AE,93405
1067,Pamela Downes,Corp Counsel,59533
8590,Charlie Tape,Dev,76701
8887,Nicholas Greiner,HRD,60676
5916,Danielle Raisley,UX/UI,16436
5799,Bradly Hidalgo,Support Engineer,29300
840,Kyle Phang,HRD,29194
552,Harold Cummings,CSM,46728
2820,Glen Sharrer,CSR,116683
8460,Jesse Spitzer,PMO,92390
8600,James Derosso,UX/UI,22341
7629,Mervin Hurley,HRGA,64160
8226,Steve Yates,Supply Chain Analyst,90338
3147,Misty Gutshall,PM,129387
9134,Reginald Vela,PM,113898
303,Jacob Brimage,FP&A,38794
4424,Robert Dibartolomeo,CMO,115479
7734,Rachel Rider,Corp Counsel,143726
2409,William Schlemmer,Support Engineer,43139
9279,Bertha Roberge,Product Analyst,30650
1855,Mary Sanchez,PPC,66565
374,Courtney Callahan,ACC,132484
3703,Robert Woodard,Support Engineer,129917
4285,Jennifer Grieb,PPC,34808
3573,Mary Brown,PM,21340
1648,Alberto Davis,Cloud Engineer,124856
647,William Mayer,CSR,29771
9102,Franklin Trudeau,DevOps,147560
7506,Bonnie Lubrano,CSM,137232
7797,Joan Young,Data Scientist,145557
1654,William Warnick,FP&A,135953
7363,Michael Thomas,UX/UI,109076
1081,Lindsay Mahood,Dev,131862
3047,Louise Cohen,VP of Sales,123506
7224,Robert Nalepa,Security Analyst,20774
1554,Ann Boyce,Dev,110644
7493,Allen Toney,CMO,24837
1544,Tina Chilton,Product Analyst,107085
3639,Frances Brown,AP/AR,65877
2426,Nila Santos,CPO,78356
6103,Shirley Collier,Network Admin,21146
2355,William Ta,CPO,28593
9343,Margaret Tipps,DevOps,24145
7426,Jason Kapinos,PPC,153181
171,John Green,GC,128714
8023,Megan Kellison,CIO,79824
1713,Elmer Stewart,Network Admin,111483
4666,Diane Green,PM,62543
