EmployeeID,Name,Department,Salary
1,Ralph Beck,Supply Chain Analyst,40378
2,Eugene Lyle,SEO,74910
3,Shawn Wyman,Data Scientist,61390
4,Lee Kyle,COO,96908
5,Priscilla Orleans,CFO,137072
6,Theresa Henning,CSR,111584
7,Theresa Anderson,AGC,13140
8,Elaine Lawrence,Security Analyst,47319
9,Jennifer Bradley,PM,14647
10,Lazaro Mullen,PM,44265
11,Mary Mccrate,Security Analyst,130007
12,Gerald Humphrey,SEO,60694
13,Virginia Mcmillian,FP&A,20714
14,Leticia Jensen,CFO,121320
15,Diane Victoria,HRGA,43493
16,Kenneth Tavis,Help Desk,78247
17,Gary Doty,SysAdmin,115733
18,Jack Goldman,Procurement Manager,41891
19,Ricky Anderson,CPO,103953
20,John Crowley,CMO,31794
21,Rebecca Ryan,CIO,120516
22,Willie Powell,IP,97360
23,Marcel Landry,Data Analyst,20983
24,Joseph Reynolds,HRBP,25540
25,John Mashburn,DBA,12062
26,Kathleen Rhodes,Data Scientist,16898
27,Lydia Barker,CFO,131960
28,Christina Raven,COO,20915
29,Diane Brenner,DBA,80979
30,Ernestine Nale,AGC,28928
31,Stephanie Zabinski,Dev,19699
32,Billy Haas,BDM,104370
33,Hilma Sheffield,QA,24082
34,Sandra Ellison,AP/AR,108710
35,Jon Thornton,Product Analyst,125150
36,Clarence Bramble,Help Desk,14044
37,Mirella Mendez,AE,126463
38,Kenneth Eagen,CMO,31478
39,Brenda Bernstein,Help Desk,146496
40,James Villanueva,Security Analyst,70225
41,Esther Rochelle,HRBP,132239
42,Kelly Penrose,SEO,60077
43,Carolina Christensen,DBA,144607
44,Herman Hammon,SysAdmin,52604
45,Carla Byrd,CMO,55024
46,Laurie Mckinney,AP/AR,35335
47,James Godwin,HRGA,21135
48,Donna Cook,VP of Sales,97869
49,Wayne Keys,HRM,117388
50,Carol Blair,Ops Manager,106789
51,Leslie Leach,Help Desk,88886
52,Victoria Lipkin,Help Desk,26620
53,Lynn Bean,UX Designer,43394
54,Thelma Ferrell,Ops Manager,105119
55,Timothy Jones,Corp Counsel,11593
56,James Jeppesen,Data Analyst,18083
57,Mary Petix,Procurement Manager,51956
58,Albert Marcus,CSR,51164
59,Kerry Stanley,Corp Counsel,95723
60,Peter Monica,HRD,41748
61,Anthony Smith,COO,94564
62,Leta Tanimoto,ITSM,84838
63,John Wilkins,DBA,108651
64,Louise Colley,VP of Sales,126233
65,Virgil Mcmahon,CSR,13164
66,Man Adams,SMM,85156
67,John Doleman,ACC,101617
68,Kenneth Koslosky,Help Desk,43796
69,Billy Colley,CPO,102198
