EmployeeID,Name,Department,Salary
1,Robert Thomas,AE,97394
2,Peggy Wilson,Cloud Engineer,24289
3,Catherine Simpson,Help Desk,59493
4,Esther Osburn,AE,40355
5,David Ayala,Cloud Engineer,68244
6,Kurt King,Data Scientist,122301
7,Madelyn Siddique,HRGA,85101
8,Michael Thomas,SDR,72865
9,Emma Hines,AE,78368
10,John Mcfalls,Corp Counsel,134145
11,Janet Gonzales,SDR,82720
12,Donald Griffin,QA,136019
13,Natalie Hains,Supply Chain Analyst,81361
14,Erin Land,Supply Chain Analyst,107348
15,Helen Parks,AP/AR,70607
16,Susan Casey,COO,148024
17,Russell Padilla,HRGA,40350
18,Rena Abel,FP&A,24504
19,Helen Fears,HRM,125805
20,Kevin Bridges,Procurement Manager,37723
21,Randy Bergren,AP/AR,146811
22,Anna Brown,Supply Chain Analyst,79573
23,Tammy Rennels,SEO,55916
24,Leonard Rowe,CSM,94159
25,Gail Jones,Security Analyst,117297
26,Stephen Mccormick,GC,23917
27,Fred Frey,CSR,154899
28,Katherine Norris,Help Desk,21530
29,Marcos Hyatt,DevOps,37440
30,Malcolm Richter,GC,64318
31,Alexander Hawkins,CIO,103093
32,Ralph Borovec,Support Engineer,55361
33,Mary Bass,CFO,132704
34,Michael Walker,Corp Counsel,72954
35,Ron Robinett,QA,102857
36,Glen Maldonado,IP,130664
37,Laura Comans,Procurement Manager,141278
38,Leo Boyer,Help Desk,68993
39,Tia Huston,HRD,151735
40,Ralph Griggs,HRM,18646
41,Helen Beachy,Supply Chain Analyst,112082
42,Marlin Timmer,BDM,40372
43,Michael Hall,CSM,89337
44,Rita Holbrook,HRM,51286
45,Linda Sanchez,Corp Counsel,102922
46,Kathy Sluka,GC,119459
47,Charles Titus,HRM,66202
48,Natasha Mclennan,AGC,68418
49,James Weathersby,AE,59751
50,Edward Jordon,QA,100335
51,Samuel Shields,CMO,68008
52,Richard Kirkpatrick,Corp Counsel,72257
53,Lloyd Johnson,PM,43965
54,Sabrina Killian,AGC,109581
55,Lloyd Agrela,CIO,44925
56,Kati Frisby,AE,87840
57,Sheila Zimmermann,FA,33750
58,Janice Revels,SEO,141770
59,Charles Barrett,SEO,152821
60,Rosa Brewer,SMM,15725
61,Charles Smith,GC,26400
62,Tyrone Aguayo,Data Scientist,51236
63,Brenda Badger,AE,85884
64,Sarah Ponder,FA,61302
65,Karen Guenther,PPC,22271
66,Catherine Gould,HRGA,16304
67,William Hamlin,Dev,40829
68,Sandra Butera,DBA,38578
69,Carole Doria,Network Admin,127640
70,James Dickey,CSR,65097
71,Jessica Licursi,UX Designer,104882
72,Melinda Dixon,Procurement Manager,141979
73,Thomas Cuddy,PMO,68120
74,Robert Martin,Support Engineer,65070
75,Steven Hollan,BDM,44926
76,Ann Bertram,SysAdmin,116127
77,Virginia Arellano,Data Analyst,73697
