EmployeeID,Name,Department,Salary
1,Patricia Brown,FP&A,97048
2,James Oneil,Help Desk,77291
3,Pamela Toney,Data Analyst,66129
4,Thomas Johnson,COO,152816
5,Steven Brown,DBA,157613
6,Roy Petty,SEO,100498
7,Jay Olson,CMO,113131
8,Kristine Sykes,DevOps,154423
9,Shirley Estorga,GC,129212
10,Lily Stafford,CMO,137421
11,Stacey Delong,HRGA,102981
12,Emilie Aiello,PM,125435
13,Jeannette Criner,SDR,68136
14,Jessica Thomas,PM,36707
15,Alex Williams,ACC,105288
16,Gerardo Stewart,AGC,109228
17,Kelley Martinez,VP of Sales,67788
18,Frank Nance,GC,71353
19,Barbara Davis,QA,71850
20,Edward Melton,AP/AR,62968
21,Elaine Orourke,PM,120241
22,Marva Lloyd,PM,128417
23,Alva Roman,Security Analyst,61833
24,Ronald Bonilla,Corp Counsel,67679
25,Eric Castro,IP,75448
26,Susan Stephenson,Security Analyst,78206
27,Florence Hardy,Security Analyst,119826
28,Dewayne Williams,ACC,88351
29,Beverly Mason,UX Designer,15805
30,Antonia Gray,Dev,114333
31,Barbara Williams,AP/AR,122685
32,Jennifer Sheffield,BDM,48002
33,Ronald Christensen,CPO,84436
34,Pauline Johnson,GC,133046
35,Lester Palmer,IP,17625
36,Audrey Kuczenski,HRGA,41302
37,Joseph Romero,CTO,130200
38,John Justice,Security Analyst,144702
39,Katherine Marino,CIO,44630
40,Eric Buchanan,VP of Sales,82067
41,John Chauez,CFO,148832
42,Sara Omeara,CSM,18455
43,Lisa Love,Security Analyst,109940
44,Lula Tyner,CFO,84373
45,Eddie Crawford,CTO,141538
46,Elizabeth Hopper,AP/AR,107142
47,Heather Harrison,Procurement Manager,44915
48,Alice Schafer,HRBP,153486
49,Andrea Bryan,UX/UI,151444
50,Caroline Ferguson,AP/AR,123393
51,Arthur Cameron,SMM,38502
52,Vicki Hall,PPC,111987
53,Theodore Rose,SDR,35209
54,Carolyn Michaelson,PMO,40172
55,Cameron Zimmerman,AGC,50937
56,Henry Capps,GC,54181
57,Mary Starks,SDR,99209
58,Daniel Peterson,PPC,74825
59,Diana Imes,Security Analyst,59654
60,Marilyn Wilusz,PM,80790
61,Crystal Thomas,Cloud Engineer,120014
62,Nelson Littlewood,Ops Manager,38125
63,James Brazell,Ops Manager,61929
64,Margarite Coleman,DBA,145169
65,Armando Jackola,CSR,20196
66,Noelia Medina,Procurement Manager,101687
67,Scott Myers,SEO,20557
68,Joseph Rohde,CTO,116638
69,Cecelia Siegfried,PM,56500
70,Todd Tomlinson,COO,110364
71,Barbara Metzger,HRBP,110659
72,Joel Mailman,PMO,85966
73,Matthew Rutledge,Support Engineer,115810
74,Kathryn Begay,DBA,119098
75,Helen Porter,PPC,42877
76,Mauricio Blake,HRGA,139074
77,John Greiner,HRGA,113657
78,Joanne Wells,PPC,78282
79,Frank Brown,FA,144227
80,Manuel Brown,SEO,137651
81,Jesse Watson,SysAdmin,45518
82,Frances Trent,UX/UI,52986
83,Joe Beaty,Data Scientist,139051
84,Douglas Slater,ACC,101204
85,Sam Evans,DevOps,153346
86,Jacque Tabin,DBA,42582
87,Brian Branch,BDM,34904
88,Carl Toban,CFO,82239
89,Eric Richardson,SMM,95810
90,Mildred Briseno,HRD,143189
91,Zachary Timmons,Security Analyst,89299
92,Cynthia Miller,ACC,72382
93,Bill Weber,Data Analyst,77397
94,James Martin,Cloud Engineer,101065
95,Tiffani Cogliano,ITSM,119539
96,Thomas Lee,CTO,90270
97,Benjamin Squires,SEO,145516
98,Juanita Birkholz,AE,47279
99,David Reimold,CFO,84981
100,Betty Fischer,CSR,46597
101,Tyson Mangum,ITSM,26793
102,April Johnson,PMO,146699
103,Muriel Davis,FA,147967
104,Donna Ballinger,AP/AR,100349
105,Doris Freeman,GC,138949
106,James Wagner,DBA,73686
107,Doris Novoa,BDM,54361
108,Elaine Dill,AGC,122860
109,Dale Lawton,CTO,47706
110,Richard Westervelt,VP of Sales,117923
111,Kevin Houge,HRM,56143
112,Blanca Darrough,SysAdmin,104068
113,Bernice Griffin,QA,91914
114,Tyrell Dresser,SysAdmin,118708
115,Marcos Baker,Cloud Engineer,118062
116,Virgil Baremore,FP&A,15228
117,Rachel Day,PMO,22122
118,Jessie Hampton,IP,110500
119,Frankie Crane,CIO,33909
120,Jessica Pursley,GC,148789
121,Gregory Vest,CPO,28084
122,Lorenzo Clark,AE,124401
123,Roberta Presswood,CTO,58507
124,Drew Smith,FP&A,59829
125,Tanya Cobb,GC,141723
126,Reuben Smith,PMO,50381
127,Arnold Kennedy,DevOps,40473
128,Ruth Townsend,Dev,89710
129,Karen Radloff,DBA,53769
130,Walter Tague,Corp Counsel,144013
131,Leo Wheeler,UX Designer,139846
132,Jerry Olesen,ITSM,31988
133,Danielle Benjamin,CIO,83861
134,Clementine Lucas,AGC,123985
135,Sheila Horst,CSR,20181
136,Stephanie Hood,Cloud Engineer,116503
137,Anthony Richmond,SDR,51777
138,William Spence,Corp Counsel,138922
139,James Thomas,UX/UI,16918
140,Charles Walker,Data Analyst,132345
141,Robert Tanaka,QA,133786
142,Cathy Fletcher,PPC,78550
143,Kandace Mcfall,CTO,86767
144,Charles Aldridge,CFO,136543
145,Thomas Mejia,COO,26968
146,Michael Taylor,HRD,39946
147,Kandy Leonetti,VP of Sales,105317
148,Stanton Sullivan,PM,109839
149,Victoria Christensen,UX Designer,128849
150,Erin Jones,DBA,137240
151,Lester Mendonca,CTO,52689
152,Martin Low,Supply Chain Analyst,110126
153,Joseph Garner,Procurement Manager,52046
154,Amanda Toler,DBA,112989
155,Cody Wood,Corp Counsel,71370
156,Georgia Braxton,ITSM,27393
157,Nicole Tacy,CTO,62216
158,Alice Chappell,CIO,95270
159,Sharon Mcbride,HRM,135859
160,Chelsey Bedeau,FA,26137
161,Bethany Weddle,PPC,25135
162,Jeffrey Brown,BDM,66814
163,Krystyna Cotten,PM,78931
164,Sherry Hogeland,PMO,39314
165,Stuart Garrison,COO,126824
166,Justin Hunter,Product Analyst,108909
167,Timothy Sanzotta,HRM,104019
168,Melissa Hegyi,AE,127472
169,Chantel Melugin,Supply Chain Analyst,118051
170,Abraham Keirn,SDR,41433
171,Gary Hutchins,Procurement Manager,88371
172,Betty Carrero,FA,63545
173,Jimmy Muller,FA,70750
174,Blanca Pignataro,Ops Manager,91725
175,Holly Copeland,Corp Counsel,96450
176,Beverly Smith,DevOps,132059
177,Michael Hunter,GC,67381
178,Charles Abramowski,ITSM,55692
179,Edna Rickett,FP&A,27545
180,Melissa Frazier,CIO,48277
181,Bettie Block,ACC,123050
182,Kaitlyn Riddell,DBA,59657
183,David Suggett,HRD,12115
184,Patsy Mickelson,Security Analyst,79417
185,Amanda Anderson,AGC,13576
186,Glenn Dibenedetto,SMM,140064
187,Claude Robinson,SMM,135719
188,Kathleen Salinas,IP,64295
189,William Awalt,CTO,50421
190,Floyd Hartman,Cloud Engineer,23600
191,Roy Richardson,Security Analyst,140427
192,Genevieve Callahan,GC,133072
193,Norman Menke,DevOps,76506
194,Princess Bice,IP,152205
195,Michael Smith,SMM,65980
196,Heather Triplett,SysAdmin,133023
197,Edward Terrell,HRBP,73381
198,Robert Gutierrez,HRBP,63248
199,Glenn Morton,AP/AR,102343
200,Daniella Rogers,SMM,46531
201,Marvin Martinez,Support Engineer,74972
202,Matthew Lane,Data Scientist,53714
203,Catherine Wiedman,Supply Chain Analyst,65812
204,Russell Edmondson,FA,51429
205,Denise Bard,CIO,155363
206,Curtis Poynter,Cloud Engineer,83965
207,Jeanette Foxman,Dev,76694
208,Pamela Embree,ITSM,68345
209,Stephen Smith,CTO,50399
210,Bobby Deloria,PPC,44613
211,Mara Anderson,Procurement Manager,43957
212,Kathryn Stephens,Product Analyst,84769
213,Albert Felipe,CFO,45097
214,David Aoki,PM,126798
215,William Wallace,DBA,144796
216,Heather Gonzalez,Ops Manager,14933
217,Nellie Cegielski,IP,104919
218,William Hoffman,CSR,47714
219,Susan Kohler,IP,135415
220,Clayton Carson,AE,117136
221,Winifred Johnson,CMO,74361
222,Jeffrey Bradford,SDR,85386
223,Dorothy Stang,Ops Manager,135260
224,Audrey Silva,UX Designer,137555
225,Inez White,UX/UI,97096
226,Andrew Shin,VP of Sales,47658
227,Richard Strawser,Dev,69737
228,Debra Root,SDR,134502
229,Jessie Pritchett,COO,34292
230,Teresa Raphael,AGC,68647
231,Michael Greathouse,IP,145350
232,Vern Fisher,Corp Counsel,80433
233,Rebecca Pearce,HRD,86978
234,Gale James,SDR,102002
235,Maria Rogers,SDR,139073
236,Rene Doucet,UX/UI,93265
237,Amelia Gaston,CSR,80848
238,Gene Portes,GC,47308
239,Tyler Adams,Security Analyst,120175
240,Mary Berkowitz,CPO,50345
241,Cathryn Gilmore,Cloud Engineer,133226
242,Val Campbell,Ops Manager,92301
243,Rosie Jung,PM,38912
244,Amanda Decastro,SMM,53552
245,Timothy Newman,Help Desk,22040
246,Lillian Patel,CIO,150880
247,Lucille Cohen,UX Designer,117623
248,Albert Morris,SMM,65749
249,James Josey,IP,82118
250,Craig Darden,FP&A,51784
251,Martha Opteyndt,SMM,14074
252,John Krouse,CFO,20963
253,Gary Morales,BDM,143197
254,Michael Mitchel,PM,133321
255,Steven Nelson,COO,135141
256,David Mercier,SDR,104314
257,Roscoe Smith,Data Analyst,17143
258,Monroe Pina,Product Analyst,68471
259,Julie Bliss,SysAdmin,35122
260,Aaron Lewis,Ops Manager,68129
261,Timothy Shook,Data Scientist,34560
262,Ken Posey,Help Desk,74371
263,Richard Shepherd,Product Analyst,63701
264,Ruth Blanks,Help Desk,94558
265,Mattie Commons,Cloud Engineer,142319
266,Robert Lattimer,CTO,119325
267,Clarence Williams,Data Scientist,116220
268,John Hausman,PM,154242
269,William Lemoyne,HRM,146251
270,Peggy Juhasz,ACC,111058
271,Charles Mcintyre,HRD,25291
272,Amanda Sharkey,CIO,108513
273,Valerie Wyman,SMM,35901
274,Brenda Peterson,Security Analyst,126657
275,Gwendolyn Sherrod,VP of Sales,109335
276,Kristina Beegle,IP,50135
277,Shirley Frost,FP&A,39421
278,Lois Carr,Cloud Engineer,154788
279,John Russell,AGC,79970
