EmployeeID,Name,Department,Salary
1,Mae Campbell,AE,114361
2,Diane Connors,CMO,132874
3,Lauren Mathis,AGC,17727
4,Mason Taylor,SysAdmin,76782
5,Genevieve Saucedo,BDM,122929
6,Odette Scott,CIO,145065
7,Benjamin Riley,QA,135617
8,Elizabeth Strayhorn,COO,63109
9,Sterling Cotton,Support Engineer,59258
10,William Hamm,ACC,56361
11,Duncan Delaney,PM,20539
12,Karin Finley,CMO,46098
13,Jennifer Vachon,FA,17024
14,Ronald Tillman,Supply Chain Analyst,65955
15,Angela Cena,Network Admin,88605
16,Robert Madsen,IP,131509
17,Victor Bloodsaw,CSM,113802
18,Dessie Smith,ITSM,90408
19,Priscilla Dean,CMO,31892
20,Kathleen Martin,COO,17686
21,Dedra Torres,PM,50465
22,James Carter,HRBP,72198
23,Frank Sims,HRGA,42755
24,Michael Brown,DevOps,54098
25,Bessie Aaron,CIO,89877
26,Kristie Kuennen,Security Analyst,138263
27,David Glover,Help Desk,44963
28,Ethel Marsh,UX/UI,61390
29,Jocelyn Turgeon,CSR,128821
30,Alfred Carter,UX Designer,72373
31,Dorothy Levine,BDM,111850
32,Linda Johnson,SysAdmin,67752
33,Charles Moore,DBA,17442
34,Daniel Norris,DBA,42606
35,Robert Pearson,AGC,118594
36,Sherilyn Smith,UX/UI,87423
37,Michael Boudreaux,Product Analyst,41481
38,Ryan Murphy,IP,98920
39,Dawn Adair,Data Scientist,125294
40,Joseph Gray,UX Designer,45651
41,Sherman Stiltner,Help Desk,74781
42,Claude Mann,Help Desk,126862
43,John Budzynski,UX Designer,79700
44,Sadie Rothschild,IP,59215
45,Alan Henrickson,Procurement Manager,89921
46,Kenneth Travis,CPO,54270
47,Sammy Prather,FP&A,84928
48,Pamela Holmes,PM,81545
49,Mary Carter,UX/UI,135350
50,Louis Frye,FA,137356
51,Judith Hester,AP/AR,55316
52,Jacqueline Gadd,Cloud Engineer,72188
53,Margie Roy,HRM,77221
54,Homer Rubio,PMO,119946
55,Rafael Babin,SEO,51181
56,Caroline Cecena,Ops Manager,32060
57,Jim Hernandez,QA,23262
58,Daniel Currie,CMO,141830
59,Frederick Jonson,HRM,112086
60,Patricia Ehsan,CSR,32047
61,Andrew Comstock,Supply Chain Analyst,119309
62,Donna Brockington,HRGA,52602
63,Samuel Chapman,AP/AR,72472
64,Lynne Frost,DevOps,63044
65,Leonard Heltzel,Network Admin,55455
66,Jerry Robinson,Supply Chain Analyst,55722
67,Margaret Duckett,AE,32979
68,Nona Richards,IP,34013
69,Norman Durk,CFO,39716
70,James Cleveland,UX/UI,61789
71,Ruth Marsh,HRM,81568
72,Angela Martin,UX/UI,32002
73,Leonard Stephens,SDR,130651
74,Keith Arnesen,CIO,27031
75,Sharon Laumbach,HRGA,23232
76,Milton Eastman,UX/UI,96312
77,Paul Taylor,HRD,82473
78,Viola Songer,Procurement Manager,15953
79,Micheal Brittingham,Corp Counsel,67772
80,Wilhelmina Burrough,AE,53578
81,Antonio Parsons,SDR,37116
82,Katherine Catoe,DBA,20968
83,June Fletcher,Network Admin,55443
84,Daniel Knapp,Supply Chain Analyst,112563
85,Donald Goeller,FP&A,108181
86,Michael Couture,FA,106630
87,James Buffington,Product Analyst,83055
88,Margaret Nelson,DevOps,68995
89,Carrie Pro,PM,114706
90,Jennifer Lawson,PM,108374
91,Leticia Zimmerman,CMO,41616
92,Paul York,CMO,25876
93,Gail Muina,CPO,148045
94,Betty Weston,CMO,54685
95,James Giampietro,FP&A,130811
96,Seth Acuna,IP,147318
97,Alicia Stewart,IP,111727
98,Ruth Alcantara,SysAdmin,27087
99,Scott Kitchens,Help Desk,72963
100,Misti Schultz,HRGA,35682
101,Brandon Melby,Data Analyst,26414
102,William Cole,SysAdmin,27322
103,Charles Clark,UX Designer,91107
104,Christine Griffin,Product Analyst,153869
105,Anthony Baoloy,UX Designer,101672
106,Paul Solis,UX Designer,18272
107,Harold Flores,CSM,86500
108,George Williams,Dev,132708
